Hokkaido,5250
Aomori,1246
Iwate,1227
Miyagi,2306
Akita,966
Yamagata,1078
Fukushima,1846
Ibaraki,2860
Tochigi,1934
Gunma,1942
Saitama,7350
Chiba,6259
Tokyo,13921
Kanagawa,9198
Niigata,2223
Toyama,1044
Ishikawa,1138
Fukui,768
Yamanashi,811
Nagano,2049
Gifu,1987
Shizuoka,3644
Aichi,7552
Mie,1781
Shiga,1414
Kyoto,2583
Osaka,8809
Hyogo,5466
Nara,1330
Wakayama,925
Tottori,556
Shimane,674
Okayama,1890
Hiroshima,2804
Yamaguchi,1358
Tokushima,728
Kagawa,956
Ehime,1339
Kochi,698
Fukuoka,5104
Saga,815
Nagasaki,1327
Kumamoto,1748
Oita,1135
Miyazaki,1073
Kagoshima,1602
Okinawa,1453
